"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.01,1.25096415468905
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.01,1.12277000946432
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.01,0.769633903964646
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.01,0.628919470029923
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.01,0.600582902270558
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.025,3.39036935911794
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.025,3.19904146003854
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.025,2.14066608506679
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.025,1.69005792839731
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.025,1.54209922295304
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.05,7.1467959506407
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.05,7.00953577368175
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.05,4.56347354625113
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.05,3.70567815870486
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.05,3.25651611825038
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.1,13.6088257863169
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.1,13.8400525584056
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.1,9.38383407147789
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.1,7.87405705767018
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.1,7.3671693062018
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.15,18.6749900666493
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.15,19.0910083437495
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.15,13.9676772342579
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.15,12.1804364923532
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.15,11.6543596514749
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.2,22.8926453465898
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.2,23.5247799307593
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.2,18.1404327286209
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.2,16.2445210152663
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.2,15.9285806134096
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.25,26.5955164401576
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.25,27.4539815406558
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.25,22.120912046557
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.25,20.3270203033286
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.25,20.0819359258081
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.3,30.1452503399473
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.3,30.8340051944133
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.3,25.9736310470597
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.3,24.2508045650206
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.3,24.2620607953683
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.35,33.3843580174811
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.35,34.108384274398
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.35,29.3723368110766
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.35,28.2279378404991
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.35,28.3154964831506
