"pred_ili[15,13]","pred_ili[16,13]","pred_ili[17,13]","pred_ili[18,13]","pred_ili[19,13]","pred_ili[20,13]"
0.0136392,0.0144476,0.0123305,0.0124417,0.0114593,0.0134998
0.0155443,0.0107757,0.0105603,0.012588,0.0168894,0.0166444
0.0127958,0.0128658,0.0109123,0.0100759,0.0112644,0.0144504
0.0142879,0.0218203,0.0435482,0.112977,0.164684,0.165508
0.0132829,0.0126621,0.00938762,0.0122866,0.0125824,0.0158792
0.0150506,0.0139226,0.0114431,0.010779,0.0117941,0.0243329
0.0126675,0.0140253,0.0115781,0.0109386,0.0116667,0.0161072
0.0103482,0.0130859,0.0134337,0.0108207,0.0115629,0.0137625
0.0132439,0.0133209,0.00959538,0.0116491,0.0121576,0.0170765
0.0103315,0.0138971,0.0106673,0.0112195,0.013103,0.0198365
0.0125946,0.0193099,0.0131593,0.0199726,0.0320122,0.066161
0.0124519,0.011329,0.014438,0.0110547,0.00703012,0.0122582
0.0151992,0.01688,0.0140746,0.0193054,0.0161394,0.019343
0.0121862,0.0158242,0.0105914,0.0126177,0.012223,0.015468
0.0129021,0.0146418,0.010959,0.011574,0.0112566,0.0146898
0.0147886,0.0180243,0.0105229,0.012621,0.0154974,0.021967
0.0125954,0.0116745,0.0106296,0.0119757,0.0112605,0.0182277
0.0127739,0.0142966,0.0123433,0.0122798,0.0121718,0.0154572
0.0112882,0.0172993,0.012627,0.0165396,0.0130158,0.0159012
0.0131049,0.0135387,0.0105779,0.00959622,0.0110272,0.0141459
0.013199,0.0154163,0.0115332,0.0146196,0.0158371,0.0204588
0.0109018,0.0139469,0.0119203,0.0126056,0.0110308,0.0159122
0.010901,0.0118622,0.00983944,0.0108127,0.0122046,0.018164
0.0130666,0.0130776,0.0131577,0.0104239,0.00985537,0.0148744
0.0130911,0.0126639,0.0106057,0.00894548,0.00945529,0.0143762
0.0128907,0.0135969,0.0105282,0.0119797,0.0139364,0.0176814
0.014481,0.0115996,0.00941652,0.00818838,0.0101761,0.0161131
0.0136727,0.0122279,0.00937941,0.0104146,0.00939656,0.0141973
0.0136693,0.0146643,0.0110429,0.0121051,0.0126195,0.0206569
0.0138635,0.0117439,0.0113985,0.0169198,0.0137724,0.019762
0.0112049,0.0159148,0.0110809,0.0106501,0.01189,0.0147145
0.0121637,0.0117439,0.0098369,0.0103447,0.0125883,0.0138478
0.0129728,0.0138139,0.0106222,0.0128775,0.0115861,0.0192213
0.0119394,0.016897,0.0189145,0.0198719,0.0266097,0.0346434
0.0107705,0.0128397,0.0096895,0.0108162,0.0101,0.014702
0.014256,0.0157419,0.0120195,0.0117456,0.0108728,0.0154022
0.0114092,0.0113539,0.0110538,0.00980053,0.0137454,0.0147291
0.0134678,0.014453,0.00974872,0.0115193,0.0146608,0.025798
0.0141784,0.0137192,0.0125561,0.011546,0.0122052,0.0192486
0.0113193,0.0143436,0.0106957,0.0129067,0.0126926,0.0159023
0.0149069,0.0160959,0.012347,0.0119278,0.0117971,0.0167076
0.0116284,0.0118637,0.0125302,0.0115467,0.0110441,0.0157193
0.0154473,0.0138488,0.0114634,0.0130269,0.012406,0.0145777
0.0114156,0.0143968,0.0119475,0.0137496,0.0132277,0.0148958
0.0143692,0.013523,0.0119286,0.0108129,0.00950602,0.0121468
0.0096283,0.0112377,0.00821816,0.00961927,0.0104365,0.00889175
0.0117421,0.0125441,0.0116148,0.00877378,0.0118999,0.0172931
0.0134384,0.0129386,0.0106587,0.00911453,0.00713256,0.00956833
0.0130654,0.0144558,0.0127249,0.0125474,0.0140651,0.0141003
0.0124173,0.013544,0.0091097,0.0111687,0.0142655,0.0173124
0.0111,0.0138791,0.0116267,0.0109171,0.0108328,0.0148271
0.010807,0.0093525,0.00777544,0.00874617,0.0095223,0.0114286
0.0126254,0.0178319,0.0121285,0.013374,0.0116966,0.014995
0.0120288,0.0147159,0.0119872,0.0110665,0.0117101,0.0124253
0.0142083,0.0147038,0.0124714,0.0142697,0.0141378,0.0155731
0.0138722,0.0133231,0.0103495,0.0151627,0.0114224,0.012686
0.0124253,0.0148074,0.0128256,0.0127045,0.0112194,0.0124735
0.00931464,0.0158637,0.0109641,0.0130255,0.0149799,0.0129673
0.0122996,0.0116143,0.00793586,0.00733732,0.00835098,0.00954784
0.0122589,0.0149669,0.0124059,0.0104852,0.011192,0.0175405
0.0110933,0.0116046,0.0105371,0.0100357,0.0115553,0.0130163
0.0146724,0.0158313,0.0147557,0.0137654,0.0128879,0.0169906
0.0132847,0.0108999,0.00919717,0.00993204,0.00847051,0.00928592
0.0132025,0.0155613,0.0123146,0.014292,0.0116057,0.0153996
0.0101513,0.0131538,0.0105532,0.0119487,0.0127371,0.0172363
0.0130778,0.0142024,0.0111432,0.0118514,0.0117626,0.0169429
0.0125694,0.0147116,0.0126802,0.013359,0.0133729,0.0224283
0.0109478,0.0156509,0.0137831,0.0148863,0.0147996,0.016409
0.0137446,0.0151218,0.0130437,0.0106082,0.0129121,0.018601
0.0146498,0.0175499,0.0116145,0.0110965,0.013006,0.0155036
0.0118962,0.0108121,0.0102624,0.00736148,0.0088416,0.0125775
0.0130719,0.0174066,0.0133006,0.011561,0.0104445,0.0123721
0.0120971,0.0206785,0.0123878,0.0145241,0.0153938,0.0246754
0.0116726,0.0133459,0.0101659,0.0106719,0.0090488,0.0137968
0.0102519,0.015472,0.0119307,0.00950288,0.0113776,0.0141858
0.0148953,0.018581,0.0108722,0.0136369,0.0173038,0.0246908
0.0116689,0.0156376,0.0043557,0.00303668,0.00249228,0.00353175
0.0155923,0.0156088,0.0125635,0.0141773,0.0168449,0.0230906
0.0140199,0.0178493,0.0104466,0.0131275,0.0114107,0.014571
0.0139333,0.0134372,0.0140777,0.0139699,0.0140372,0.0197343
0.0137813,0.0175075,0.0135936,0.0132772,0.0134767,0.0176932
0.0127234,0.0148234,0.0121954,0.0134733,0.012782,0.0216419
0.0126841,0.0151772,0.01103,0.0126631,0.0142337,0.0210065
0.0128697,0.0186738,0.0159457,0.0176905,0.0164494,0.029401
0.0124731,0.0123299,0.0106614,0.0123718,0.0125908,0.0180763
0.0128448,0.0152925,0.0138956,0.0191783,0.0212564,0.0393095
0.0130617,0.0146106,0.0117643,0.0127132,0.0142707,0.0310699
